exp_tensile_strain,exp_tensile_stress,cal_tensile_strain,cal_tensile_stress,val_tensile_strain,val_tensile_stress
0.06349,499.81,0.05076923076923064,460.5774813032661,,
0.06466,501.45,0.051538461538461415,462.2337360912286,,
0.06581,503.65,0.05230769230769219,463.8892857218377,,
0.06693,505.72,0.05307692307692296,465.54413048913176,,
0.0681,508.15,0.05384615384615373,467.1982706870317,,
0.06927,510.24,0.0546153846153845,468.85170660934085,,
0.07043,512.03,0.055384615384615275,470.50443854974577,,
0.07129,518.35,0.05615384615384605,472.15646680181584,,
0.0725,518.52,0.05692307692307682,473.8077916590021,,
0.07365,519.48,0.05769230769230759,475.4584134146387,,
0.07481,520.96,0.058461538461538363,477.1083323619446,,
0.07597,522.57,0.059230769230769136,478.7575487940199,,
0.07707,524.85,0.05999999999999991,480.4060630038465,,
0.07816,526.8,0.06076923076923068,482.05387528429276,,
0.07923,529.06,0.06153846153846145,483.700985928107,,
0.08031,531.07,0.062307692307692224,485.34739522792233,,
0.08143,532.88,0.063076923076923,486.99310347625396,,
0.08238,530.55,0.06384615384615377,488.63811096549983,,
0.08328,540.82,0.06461538461538455,490.2824179879451,,
0.08448,540.97,0.06538461538461532,491.9260248357537,,
0.0857,542.1,0.06615384615384609,493.5689318009719,,
0.08743,545.39,0.06692307692307686,495.2111391755348,,
0.08859,546.45,0.06769230769230764,496.8526472512571,,
0.08975,548.33,0.06846153846153841,498.49345631983704,,
0.09087,550.55,0.06923076923076918,500.1335666728577,,
0.09197,552.59,0.06999999999999995,501.7729786017837,,
0.09309,554.67,0.07076923076923072,503.41169239796693,,
0.09421,556.09,0.0715384615384615,505.04970835263725,,
0.09488,562.54,0.07230769230769227,506.68702675691327,,
0.09612,562.57,0.07307692307692304,508.32364790179474,,
0.09732,563.72,0.07384615384615381,509.95957207816576,,
0.09857,565.43,0.07461538461538458,511.5947995767943,,
0.0997,566.89,0.07538461538461536,513.2293306883319,,
0.10083,568.49,0.07615384615384613,514.8631657033145,,
0.10197,570.66,0.0769230769230769,516.4963049121608,,
0.10308,572.91,0.07769230769230767,518.1287486051762,,
0.1042,574.8,0.07846153846153844,519.7604970725441,,
0.10528,576.95,0.07923076923076922,521.3915506043401,,
0.10611,580.65,0.07999999999999999,523.0219094905166,,
0.10714,584.43,0.08076923076923076,524.6515740209142,,
0.10831,584.56,0.08153846153846153,526.280544485256,,
0.10942,585.6,0.0823076923076923,527.9088211731516,,
0.11054,587.17,0.08307692307692308,529.5364043740921,,
0.11169,588.78,0.08384615384615385,531.1632943774546,,
0.11286,590.47,0.08461538461538462,532.7894914724975,,
0.11398,592.67,0.08538461538461539,534.4149959483676,,
0.11509,594.54,0.08615384615384616,536.039808094094,,
0.11621,596.88,0.08692307692307694,537.6639281985914,,
0.11729,598.84,0.08769230769230771,539.2873565506574,,
0.1184,600.54,0.08846153846153848,540.910093438975,,
0.1195,602.41,0.08923076923076925,542.5321391521114,,
0.12017,609.32,0.09000000000000002,544.15349397852,,
0.12128,609.93,0.0907692307692308,545.7741582065363,,
0.12245,610.3,0.09153846153846157,547.3941321243816,,
0.12361,611.16,0.09230769230769234,549.0134160201633,,
0.12474,612.69,0.09307692307692311,550.6320101818712,,
0.12584,614.36,0.09384615384615388,552.2499148973817,,
