block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume
2.0,694.5,0.0030548,83.0,0.0074328,0.053971,-0.01087,0.96572,-0.2537,0.0074328,12849.0
2.0,696.73,0.0030747,84.0,0.0075998,0.053727,-0.010961,0.9657,-0.25379,0.0075998,11901.0
2.0,650.7,0.0028231,85.0,0.006007,0.055178,-0.010656,0.96567,-0.2536,0.006007,15824.0
2.0,697.48,0.0030026,86.0,0.0069497,0.054755,-0.0087781,0.96565,-0.25385,0.0069497,12827.0
2.0,646.22,0.0028248,87.0,0.0059436,0.054667,-0.010945,0.96571,-0.25357,0.0059436,15264.0
2.0,681.57,0.0029707,88.0,0.0067504,0.054234,-0.0089472,0.96569,-0.25382,0.0067504,12708.0
2.0,657.45,0.0028466,89.0,0.005971,0.05472,-0.010956,0.96571,-0.25355,0.005971,15175.0
2.0,687.0,0.0029768,90.0,0.0067167,0.054303,-0.0089311,0.96569,-0.25379,0.0067167,12646.0
2.0,653.5,0.002843,91.0,0.0059832,0.054673,-0.010943,0.96572,-0.25352,0.0059832,15264.0
2.0,685.64,0.0029779,92.0,0.0067514,0.054284,-0.0089091,0.9657,-0.25376,0.0067514,12708.0
2.0,645.16,0.0028462,93.0,0.006106,0.054118,-0.010871,0.96576,-0.25349,0.006106,15824.0
2.0,696.69,0.003037,94.0,0.0071172,0.053805,-0.0089867,0.96573,-0.25374,0.0071172,12827.0
2.0,688.36,0.0031075,95.0,0.0081333,0.054293,-0.0092573,0.96562,-0.25405,0.0081333,13128.0
2.0,692.66,0.0031181,96.0,0.0083009,0.054402,-0.0092313,0.96565,-0.25393,0.0083009,13141.0
2.0,589.68,0.0028392,97.0,0.0070209,0.05415,-0.010181,0.96573,-0.25363,0.0070209,11294.0
2.0,620.15,0.00291,98.0,0.0072744,0.054293,-0.010216,0.96578,-0.25342,0.0072744,10046.0
2.0,575.01,0.0027692,99.0,0.0064983,0.054159,-0.011138,0.96573,-0.2536,0.0064983,10161.0
2.0,586.01,0.0028078,100.0,0.0067428,0.054255,-0.011058,0.96579,-0.25335,0.0067428,10403.0
2.0,658.28,0.003003,101.0,0.0074759,0.053623,-0.010894,0.9657,-0.25382,0.0074759,10042.0
2.0,663.47,0.0030087,102.0,0.0074703,0.053719,-0.010764,0.96575,-0.25362,0.0074703,9333.3
2.0,695.45,0.0030464,103.0,0.0073785,0.053817,-0.010592,0.96568,-0.25388,0.0073785,9564.4
2.0,693.01,0.0030607,104.0,0.0075203,0.053866,-0.010665,0.96571,-0.25375,0.0075203,10169.0
2.0,685.57,0.0030446,105.0,0.0075068,0.053998,-0.010685,0.9657,-0.25375,0.0075068,10447.0
2.0,695.31,0.0030651,106.0,0.0075865,0.05412,-0.010569,0.9657,-0.25374,0.0075865,10257.0
2.0,658.99,0.0029956,107.0,0.0074382,0.05382,-0.010705,0.96574,-0.25363,0.0074382,9079.0
2.0,592.41,0.0028169,108.0,0.0067621,0.054295,-0.011018,0.96579,-0.25336,0.0067621,10646.0
2.0,666.7,0.0030141,109.0,0.007465,0.053938,-0.010697,0.96573,-0.25364,0.007465,9242.9
2.0,588.35,0.0028125,110.0,0.0067454,0.054314,-0.011041,0.96578,-0.25335,0.0067454,10371.0
2.0,648.93,0.002977,111.0,0.0074139,0.054025,-0.010908,0.96582,-0.25329,0.0074139,10109.0
2.0,577.68,0.0027652,112.0,0.0065147,0.054429,-0.01107,0.96589,-0.25293,0.0065147,10182.0
2.0,699.06,0.0030698,113.0,0.0075103,0.054156,-0.010658,0.96574,-0.25357,0.0075103,9685.1
2.0,597.49,0.0028499,114.0,0.0070827,0.054262,-0.010072,0.96587,-0.25307,0.0070827,11191.0
2.0,686.36,0.0030917,115.0,0.0080492,0.054275,-0.0092008,0.96572,-0.25369,0.0080492,13226.0
2.0,621.49,0.002913,116.0,0.0072667,0.054166,-0.010263,0.96579,-0.25341,0.0072667,9910.5
2.0,692.68,0.0031224,117.0,0.0083122,0.05421,-0.0093282,0.96567,-0.25389,0.0083122,13203.0
2.0,609.42,0.0028754,118.0,0.0071504,0.054258,-0.010247,0.96578,-0.25342,0.0071504,10079.0
2.0,683.08,0.003085,119.0,0.0081316,0.054322,-0.0092245,0.96566,-0.25391,0.0081316,12915.0
2.0,658.79,0.0028518,120.0,0.0059563,0.053602,-0.01049,0.96576,-0.25363,0.0059563,15460.0
2.0,700.03,0.0030013,121.0,0.0068271,0.053736,-0.011287,0.96572,-0.25371,0.0068271,10958.0
